iknow00001	CES(消費性電子展)：自動駕駛系統(Autonomous System)
iknow04042	行政院：太空發展法：科技部：太空發展計畫：低軌通訊衛星：B5G(Beyond 5G)
iknow04043	脫鉤中國(China Decoupling)：GDP：美中貿易戰：供應鏈
iknow04044	低軌道衛星(LEO satellites)：無人機(Drone)：自動駕駛發射飛機(Autonomous Launch Vehicle：AuLV)：Aevum：通信衛星：太空產業：發射可重複使用
iknow04045	美國總統拜登：G7領袖峰會：多邊主義：美國國家政策：COVID-19
iknow04046	第三代半導體材料(Third-generation semiconductor materials)：氮化鎵(Gallium Nitride：GaN)：寬能隙半導體(Wide Bandgap Semiconductor)：矽基氮化鎵高電子遷移率電晶體(GaN-on-Si HEMT)：8吋晶圓：GaNext：晶圓代工：Cambridge GaN Devices：英國
iknow04047	擴增實境(AR)：AR頭戴式裝置(AR Headset)：MR：蘋果(Apple Inc.)：智慧型手機：併購策略
iknow04048	邊緣人工智慧(Edge AI)：邊緣AI軟體(Edge AI Software)：大數據
iknow04049	人工智慧(AI)：中國(China)：美國(USA)：弱AI(狹義AI：Weak AI：Narrow AI)：語音辨識(voice recognition)
iknow04050	中國：IC積體電路：IC晶片：中國自主晶片
iknow04051	台灣IC產業產值：全球半導體市場：晶圓代工
iknow04052	人工智慧(AI)：語音AI(Voice AI)：谷歌(Google)：新創公司(Stratup)：語音助理：新創公司：COVID-19
iknow04053	投資臺灣：臺商回臺：企業回流
iknow04054	南韓政府：綠能汽車(Green Car)：電動汽車(EV)：氫能車：充電電池租賃：充電基礎設施：補貼政策
iknow04055	電動車新創公司：Lucid Motors：借殼上市：CCIV：特殊目的收購公司(SPAC)：特斯拉(Tesla)：傳統汽車：福斯(Volkswegan)
iknow04056	臺灣：製造業：COVID-19
iknow04057	數位轉型(Digital Transformation)：物聯網(IoT)：金融產業(Finance Industry)：人工智慧(AI)：區塊鏈(Blockchain)：機器學習(Machine Learning)
iknow04058	賽靈思：資料中心：Alveo SmartNIC：AI影像分析：加速演算法交易
iknow04059	台灣：外銷訂單
iknow04060	美國總統拜登：行政命令：半導體：供應鏈審查：美國製造：國家科技政策
iknow04061	歐洲晶片聯盟：半導體自主：2奈米晶圓廠：台積電
iknow04062	宏達電(HTC)：魅族科技：魅藍Note5：手機天線：4G手機：外觀專利侵權：專利剩餘價值
iknow04063	歐盟(EU)：歐洲綠色新政：數位轉型：氣候中和：歐洲夥伴關係(European Partnerships)：COVID-19：綠色轉型
iknow04064	鴻海：美國製造：威州投資案：電動車：Fisker：SPAC：借殼上市：MIH電動車平台聯盟
iknow04065	中國半導體業：中芯國際：科技政策
iknow04066	日本(Japan)：社會5.0：中小企業(SME)：數位轉型(Digital Transformation)：新創合作(Innovation Cooperation)
iknow04067	半導體產業(Semiconductor Industry)：汽車晶片(Auto Chip)：電動車(EV)：車用IC：汽車晶片自主化：半導體供應鏈重組：自動駕駛車(Autonomous Vehicle)：美中貿易戰
iknow04068	麻省理工科技評論：MIT：十大突破性技術：mRNA疫苗：量子計算：AI：自然語言
iknow04069	晶圓代工(Foundry)：半導體產業(Semiconductor Industry)：台積電(TSMC)：三星電子(Samsung Electronics)：美國(USA)：日本(Japan)：歐洲(Europe)
iknow04070	電動車(Electric Vehicle)：電動車電池(EV Battery)：固態電池(Solid-State Battery)：美國總統拜登：電池供應鏈：美中貿易戰
iknow04071	COVID-19：新冠病毒：數位疫苗護照：疫苗護照(Vaccine Passport)：健康數位憑證(Health Digital Certificate)：數位轉型：歐盟(EU)
iknow04072	NSCAI：限制中國半導體業：半導體：人工智慧：出口管制：國家科技政策
iknow04073	VLSI Technology：英特爾(Intel)：專利侵權：損害賠償：記憶體：NXP
iknow04074	人工智慧(AI)：材料科學(Material Science)：機器學習(Machine Learning)：高分子材料
iknow04075	中歐全面投資協定(EU-China investment treaty)：中國：歐盟
iknow04076	台積電(TSMC)：晶圓產能：8吋晶圓：12吋晶圓：6吋晶圓
iknow04077	意法半導體(STMicroelectronics)：碳化矽(Silicon Carbide：SiC)：第三代半導體材料(Third-generation semiconductor materials)：飛時測距(Time of Flight：ToF)：CMOS影像感測器(CMOS image sensors：CIS)：逆變器功率模組：蘋果(Apple, Inc.)：特斯拉(Tesla)
iknow04078	三星：德州奧斯丁：設廠投資：LSI系統整合晶片廠
iknow04079	大數據分析(Big Data Analytics)：健康大數據(Big Data in Healthcare)：Truveta：COVID-19：醫療保健產業：人工智慧(AI)
iknow04080	中國大陸：碳交易市場：碳排放：綠色低碳：綠色轉型：綠色供應鏈
iknow04081	中國大陸兩會：全國人大和政協會議：十四五：2035遠景目標：國家政策
iknow04082	智慧機械：數位化：數位優化：數位轉型
iknow04083	數位轉型(Digital Transformation)：數位雙胞胎：人工智慧(AI)：領導型企業
iknow04084	半導體製造：5奈米：7奈米：台積電(TSMC)：每片晶圓價值
iknow04085	美國太空總署(NASA)：月球探索車(VIPER)：極地勘測：南極尋找冰：CLPS：造車成本
iknow04086	專利侵權訴訟：Solas OLED Ltd.：OLED：三星電子：德國斯圖加特大學(Stuttgart Universitaet)：大學專利
iknow04087	中芯國際：半導體：中國：台積電
iknow04088	加密貨幣(Cryptocurrency)：比特幣(Bitcoin)：電力消耗(energy waste)：綠色能源(green energy)：挖礦機制(Mining Mechanism)
iknow04089	半導體產業(Semiconductor Industry)：中國半導體產業(China Semiconductor Industry)：DRAM：記憶體(Memory)：武漢弘芯(HSMC)
iknow04090	半導體產業(Semiconductor Industry)：半導體製造(Semiconductor Manufacturing)：歐盟(European Union)：Digital Compass plan：半導體本土化：半導體供應鏈
iknow04091	低軌道衛星(LEO satellites)：衛星寬頻(Satellite Braodband)：太空雷射(Space Laser)：AESA：智慧天線(Smart Antennas)：衛星天線通訊
iknow04092	量子感測(quantum sensors)： Q-CTRL：小型衛星：太空探索
iknow04093	中國晶片設計：智鈊科技：芯道互聯：營業秘密：半導體產業：比特大陸
iknow04094	物流機器人(Robot)：人工智慧(AI)：送貨機器人(Delivery Robot)：新創公司(Startup)：優步(Uber)：PostMates X：Serve Robotics：智慧物流
iknow04095	美國最高法院：PTAB：專利行政法官(APJ)：是否違憲：次級官員(inferior officers)：首要官員(principal officers)：專利訴訟：專利無效
iknow04096	量子計算：量子電腦(Quantum Computer)：國家量子計劃：以色列(Israel)
iknow04097	量子運算(Quantum Computing)：量子科技(Quantum Technology)：網路安全(Cybersecurity)：IBM
iknow04098	量子演算(Quantum Computing)：數位退火(Digital Annealer)：AI：COVID-19：疫苗分配：Entanglement：富士通
iknow04099	蘋果：台積電：Micro OLED：Micro LED：頭戴式裝置：AR眼鏡：顯示器晶片
iknow04100	光學鏡頭：專利侵權：營業秘密：和解賠償金：以股作價：大立光：先進光
iknow04101	馬來西亞(Malaysia)：5G：MyDigital：數位經濟
iknow04102	微機電系統(MEMS)：CMOS影像感測器(CMOS image sensors：CIS)：MEMS感測器(MEMS sensor)：IC
iknow04103	電動車(Electric Vehicle)：鋰離子電池(Lithium-ion Battery)：電動車電池(EV Battery)
iknow04104	聯合國(UN)：二氧化碳(CO2)：碳捕獲利用和儲存技術(CCUS)：碳中和：成本障礙：CCUS成本曲線(Carbon sequestration cost curve)
iknow04105	NASA：太空商業化：低軌道(LEO)：調整定價：國際太空站(ISS)
iknow04106	SpaceX：Starlink：網路衛星：FCC：通訊衛星：衛星行動通信服務(Mobile-Satellite Service：MSS)：太空衛星網路：天線
iknow04107	專利統計：專利申請：智慧局
iknow04108	蘋果公司(Apple Inc)：慕尼黑：晶片設計中心：台積電(TSMC)：半導體供應鏈
iknow04109	日本：太空預算：太空防衛：情報收集衛星(Information Gathering Satellite：IGS)：JAXA：太空自衛隊
iknow04110	家庭機器人(Home Robot)：Vesta：亞馬遜(Amazon.com)：人工智慧(AI)：語音助理(Voice Assistant)
iknow04111	筆記型電腦(NB)：桌上型電腦(desk PC)：PC產業：COVID-19：臺灣 PC 市場
iknow04112	數位轉型(Digital Transformation)：科技主權(Tech sovereignty)：數位羅盤(Digital Compass)：歐盟(European Union)：數位十年(Digital Decade)：人工智慧(AI)：地緣政治：
iknow04113	歐盟：數位轉型(Digital transformation)：復甦計畫：數位羅盤(Digital Compass)：COVID-19：循環經濟：歐洲半導體
iknow04114	擴增實境(AR)：AR頭戴式裝置(AR Headset)：AR眼鏡：人工智慧(AI)：臉書(Facebook)：遠距傳送(Teleportation)：智慧眼鏡(Smart Glasses)
iknow04115	蘋果(Apple Inc.)：蘋果汽車(Apple Car)：電動車(EV)：自動駕駛車(Autonomous Car)：豐田(Toyota)：汽車數位轉型
iknow04116	人工智慧(AI)：深度學習(Deep Learning)：AI晶片設計(AI Chip)：架構探索：IC電路布局：Apollo：神經網絡
iknow04117	半導體產業：IC市場
iknow04118	低軌道衛星(LEO satellites)：無人機(Drone)：全球導航衛星系統(GNSS)：定位系統：低軌道衛星導航系統：新創公司：Xona：Momentus
iknow04119	美中科技戰：半導體行業協會：供應鏈安全：資訊共享機制：美中高層對話：中國
iknow04120	量子科技：量子技術：量子計算：量子電腦：獨角獸公司
iknow04121	韓國政府：全球晶片短缺：建本土車用晶片供應鏈：汽車晶片：汽車零件
iknow04122	u-blox：MAYA-W1：雙頻Wi-Fi 4：Bluetooth 5：多重無線電模組：物聯網(IoT)
iknow04123	大數據分析(Big Data Analytics)：健康大數據(Big Data in Healthcare)：人工智慧(AI)：新創公司(Startup)：Innovaccer
iknow04124	商標申請：臺灣
iknow04125	華為(Huawei)：智慧型手機：5G專利使用費
iknow04126	電動車電池：電池供應鏈：固態電池：日本
iknow04127	碳定價(Carbon Pricing)：全球暖化：碳交易：碳排放：碳捕捉與封存(carbon capture and storage：CCS)
iknow04128	福斯汽車(Volkswagen)：電動車(EV)：電動車電池：Northvolt：快速充電站：電池新材料：固態電池
iknow04129	壓縮型封裝：運算密度：智慧邊緣運算：物聯網(IoT)：賽靈思(Xilinx, Inc.)
iknow04130	半導體業景氣：晶圓代工：台積電：聯發科：5奈米
iknow04131	美國拜登：半導體：基礎建設：美國創新和就業法案：自主半導體供應鏈
iknow04132	智慧型機器人(Smart Robotics)：工業機器人：彈性供應鏈(resilient supply chains)：人機協作(collaborative robots)：機器人即服務(Robots as a Service)
iknow04133	SEMI：全球晶圓廠設備支出：晶圓代工：記憶體
iknow04134	全球機器人聯盟(IFR)：工業機器人密度：自動化程度
iknow04135	鴻海集團：MIH：電動車供應鏈：電動車軟硬體和關鍵零組件平台：供應鏈重整
iknow04136	6G：無線資訊與能量傳輸(Wireless Information and Energy Transfer：WIET)：自由空間光學(Free Space Optical：FSO)：THz(太赫茲)：物對物(Thing-to-Thing)
iknow04137	三星：美國德州：半導體設廠
iknow04138	記憶體產業(Memory Industry)：磁阻式隨機存取記憶體(Magnetoresistive RAM：MRAM)：IBM：STT-MRAM(Spin-Transfer-Torque MRAM)：磁性穿隧結(MTJ)
iknow04139	第三代半導體材料(Third-generation semiconductor materials)：碳化矽(Silicon Carbide：SiC)：寬能隙半導體(Wide Bandgap Semiconductor)：電動車(EV)
iknow04140	量子技術：量子安全(quantum secure)：英國：加密公開金鑰基礎建設(Public Key Infrastructure)：英國國家量子技術計畫(UK National Quantum Technologies Programme)
iknow04141	量子運算(Quantum Computing)：量子科技(Quantum Technology)：微軟(Microsoft)：Majorana費米子：亞原子粒子
iknow04142	337調查：掃地機器人：iRobot：SharkNinja：專利侵權
iknow04143	半導體設備：晶圓檢測機(Semiconductor wafer inspection)：人工智慧(AI)：大數據(Big Data)：應用材料(Applied Materials)：ExtractAI：Enlight System 
iknow04144	低軌道衛星(LEO satellites)：低軌道衛星星群(LEO satellite constellations)：地面基地站：成本控制：商業服務
iknow04145	臺灣：外銷訂單
iknow04146	臺灣：新南向國家：來臺投資
iknow04147	數位貨幣：央行數位貨幣(CBDC)：比特幣：美國聯準會：鮑威爾(Jerome Powell)
iknow04148	蘋果：Personalized Media Communications(PMC)：專利侵權：數位版權管理：賠償金：專利授權公司
iknow04149	人工智慧(AI)：智慧音箱(Smart Speaker)：蘋果(Apple, Inc.)：HomePod：語音助理(Voice Assistant)：智慧顯示器(Smart Display)：智慧家庭
iknow04150	供應鏈重組：供應鏈在地化：印度：印度製造：電動車(EV)：美中貿易戰：回饋優惠：外資汽車投資計畫
iknow04151	英特爾：台積電：晶圓代工：委外代工：半導體製造：7奈米：IDM 2.0：供應鏈在地化：供應鏈重組：地緣政治
iknow04152	臺灣：工業生產
iknow04153	美國國防高等研究計劃署(DARPA)：月球基地：在軌道上製造(On-orbit manufacturing)：太空技術
iknow04154	量子資訊科學(Quantum Information Science：QIS)：美國：能源部
iknow04155	電動車：電動車電池：鋰電池：電池製造商：汽車製造商：自主生產
iknow04156	L1/L5時序模組：全球導航衛星系統(GNSS)：高精準定位：L5頻段訊號：無線通訊
iknow04157	三星：Waymo：自動駕駛：自動駕駛晶片
iknow04158	半導體供應鏈：地緣政治：台積電：英特爾
iknow04159	商業低地球軌道開發計畫(Commercial LEO Development program)：商用太空站：NASA：太空行動協議(Space Act Agreement)
iknow04160	化合物半導體(Compound semiconductor)：氧化鎵(Gallium Oxide：Ga2O3)：氮化鎵(Gallium Nitride：GaN)：寬能隙半導體(Wide Bandgap Semiconductor)：透明導電氧化物：電源開關
iknow04161	自動駕駛車(Autonomous Vehicle)：微移動(Micromobility)：先進駕駛輔助系統(Advanced Driver Assistance Systems：ADAS)：
iknow04162	晶圓代工(Foundry)：半導體產業(Semiconductor Industry)：台積電(TSMC)：三星電子(Samsung Electronics)：美國(USA)：英特爾(Intel)：IDM 2.0戰略
iknow04163	電動車(Electric Vehicle)：固態電池(Solid-State Battery)：電池電動車(Battery EV)：福斯(Volkswagen)：自動駕駛：新能源汽車：特斯拉
iknow04164	蘋果公司(Apple)：蝴蝶開關鍵盤(Butterfly Keyboard)：集體訴訟
iknow04165	6G：行動通訊網路(Mobile Communication)：專利戰(Patent Wars)：智慧財產權(Intellectual Property)：標準必要專利(SEP)
iknow04166	二氧化碳捕獲 (CO2 Capture)：澳洲昆士蘭科技大學：碳酸鈣(calcium carbonate)：綠色氫氣：建築材料：循環碳
iknow04167	二氧化碳捕獲和封存技術(CCS)：商業化：CO2：二氧化碳再循環：45Q：碳稅收抵免條款：能源政策
iknow04168	人工智慧(AI)：電腦視覺(Computer Vision)：國防先進研究計劃署(DARPA)：像素智慧處理(Pixel Intelligent Processing：IP2)：第三波AI
iknow04169	中國最高人民法院：知識產權法庭：技術類知識產權典型案例
iknow04170	日本：稀有金屬：回收工廠：補貼技術研發：全球減碳
iknow04171	東芝公司(Toshiba)：碳回收：CO2電催化劑電極堆(CO2 electrocatalyst electrode stack)：二氧化碳再循環：鋼鐵工廠
iknow04172	高通(Qualcomm)：反壟斷調查(antitrust)：反托拉斯法：FTC：地緣政治：專利授權
iknow04173	臺灣：經濟成長：固定投資
iknow04174	光電元件(optoelectronics)：感測器：致動器：離散元件(Discretes)：O-S-D：半導體市場
iknow04175	低軌道衛星(LEO satellites)：5G：新創公司(Startup)：行動通訊(Mobile Communications)：洛克希德馬丁(Lockhead Martin)：Omnispace：混合網路
iknow04176	東芝(Toshiba)：即插即用(Plug-and-play)：量子運算：超級電腦(Supercomputer)：FPGA：模擬分叉算法(SBA)：Simulated Bifurcation Machine
iknow04177	美國拜登：風力發電開發：海上風能：離岸風能：本土供應鏈：基礎設施：國家能源政策
iknow04178	輝能科技(ProLogium Technology)：固態電池：固態鋰陶瓷電池(lithium ceramic battery)：MAB多軸向雙極電池包：Vingroup：越南：SPAC：美掛牌上市
iknow04179	半導體產業：台積電：英特爾：三星電子：投資計畫
iknow04180	印度：晶片：印度製造(Made in India)：投資補貼：半導體
iknow04181	美國就業計劃(The American Jobs Plan)：美國製造稅收計劃(Made in America Tax Plan)：公共基礎建設：公司稅：美國製造：供應鏈：國家政策
iknow04182	半導體產業(Semiconductor Industry)：半導體製造(Semiconductor Manufacturing)：供應鏈(Supply Chain)：激勵計劃：地緣政治：美國
iknow04183	南韓：功率半導體：碳化矽(SiC)：氮化鎵(GaN)：氧化鎵(Ga2O3)：先進感測器：AI晶片
iknow04184	飛行車(Flying Car)：飛行計程車(Air Taxis)：eVTOL(electric vertical takeoff and landing)：新創公司：SPAC：Joby Aviation：Lilium
iknow04185	高價值專利：專利申請：中國大陸：十四五：知識產權政策
iknow04186	電動車(Electric Vehicle)：電動車電池(EV Battery)：固態電池(Solid-State Battery)：美國拜登基建計畫：供應鏈
iknow04187	衛星網路：物聯網(IoT)：Myriota：Sateliot：奈米衛星(nanosatellite)
iknow04188	擴增實境(AR)：AR頭戴式裝置(AR Headset)：人工智慧(AI)：Snapchat：AR眼鏡：智慧眼鏡(Smart Glasses)
iknow04189	DARPA：量子電腦：量子運算：量子基準計畫(Quantum Benchmarking program)
iknow04190	半導體產業(Semiconductor Industry)：半導體製造(Semiconductor Manufacturing)：AI晶片(AI Chip)：邊緣運算(Edge Computing)：數據處理器(DPU)：智慧處理器(IPU)
iknow04191	美國國防部：太空發展局(Space Development Agency：SDA)：數據中繼衛星：飛彈追蹤感測衛星：低軌道衛星(LEO)
iknow04192	美國最高法院：Google：甲骨文(Oracle)：API：版權訴訟：Java：Android：智慧型手機
iknow04193	量子運算：量子實驗平台：桑迪亞國家實驗室(Sandia National Laboratories)：量子科學計算開放用戶測試平台(Quantum Scientific Computing Open User Testbed：QSCOUT)：離子阱(Ion Trap)
iknow04194	數位轉型(Digital Transformation)：網路安全(Cybersecurity)：人工智慧(AI)：軟體安全(Software Security)：機器學習(Machine Learning)
iknow04195	人工智慧(AI)：工作殺手(Job Killer)：機器人(Robots)
iknow04196	太空探索：NASA：小型企業創新研究(SBIR)：3D列印：自動化：LiDAR：未來科技趨勢
iknow04197	可再生能源：氫能：綠氫(green hydrogen)
iknow04198	美國白宮：晶片會議：汽車晶片：半導體供應鏈：三星電子
iknow04199	美國商務部：BIS：實體清單(Entity List)：台積電：世芯-KY(Alchip)：戰略性高科技管制：出口管理條例(EAR)：高性能晶片：超級電腦：美中貿易戰
iknow04200	6G：頻譜：行動通訊網路(Mobile Communication)：醫療保健(Health Care)：基礎建設(Infrastructure)：隱私(Privacy)
iknow04201	Zapata Computing：Orquestra：計算流體動力學(CFD)：量子運算：製造產業
iknow04202	加密貨幣：綠色轉型：可再生能源：加密氣候協定(Crypto Climate Accord)：比特幣：碳排放
iknow04203	半導體產業(Semiconductor Industry)：半導體製造(Semiconductor Manufacturing)：人工智慧(AI)：汽車產業(Auto Industry)：供應鏈戰略：汽車晶片
iknow04204	全球趨勢：數位貨幣：人工智慧：地緣政治
iknow04205	量子手機(Quantum phone)：智慧型手機(Smartphone)：韓國(South Korea)：三星(Samsung)：SK Telecom：韓國電信(KT)
iknow04206	新創公司(Startup)：AI加速晶片(AI accelerator)：新創投資：電動車(EV)：產業趨勢
iknow04207	低軌道衛星(LEO satellites)：低軌道衛星星座(LEO satellite constellations)：寬頻網路(Broadband Internet)：農村寬頻服務
iknow04208	阿里巴巴：反壟斷調查：中國國家市場監管總局：電商平台：不正當競爭
iknow04209	美國國際貿易委員會(ITC)：電動車電池：LG Energy Solutions：SK Innovation：商業機密：訴訟和解：拜登：基建計畫：電動車電池應鏈
iknow04210	微軟(Microsoft)：語音辨識(Speech Recognition)：人工智慧(AI)：醫療科技(Health Technology)：Nuance
iknow04211	臺灣：製造業：固定資產增購：營業收入
iknow04212	LG：Magna：蘋果汽車：電動車(EV)
iknow04213	半導體市場：晶圓代工
iknow04214	全球IC市場：台灣：企業總部
iknow04215	全球半導體收入：半導體供應商
iknow04216	全球半導體製造設備
iknow04217	越南(Vietnam)：工業4.0(Industry 4.0)：越南資訊通訊部(Ministry of Information and Communications：MIC)：越南2045(Vietnam 2045)
iknow04218	數位轉型(Digital Transformation)：製藥產業(Pharma Industry)：人工智慧(AI)：軟體安全(Software Security)：機器學習(Machine Learning)
iknow04219	NVIDIA Grace：數據中心：CPU：Arm處理器：AI：高性能計算(HPC)：繪圖處理器(GPU)：DPU(資料處理器)：超級電腦
iknow04220	u-blox：400MHz：LTE-M：NB-IoT模組：SARA-R540S：低功耗廣域(LPWA)：定位與無線通訊
iknow04221	台積電(TSMC)：法說會：季營收：資本支出
iknow04222	行政院：臺灣半導體地位：國家半導體策略：培養產業人才：美中科技戰
iknow04223	日本：電池供應鏈協議會(BASC)：稀有金屬：車載電池供應鏈：本土供應鏈
iknow04224	金屬電池：電動車：電動車電池：磷酸鐵鋰(lithium iron phosphate：LFP)：鎳鈷錳(nickel-cobalt-manganese：NCM)：鎳鈷錳鋁(NCMA)：磷酸鋰鐵錳(LFMP)：特斯拉
iknow04225	氫氣製造設施：加氫站：韓國：氫燃料車
iknow04226	荷蘭：量子技術：Quantum Delta NL
iknow04227	臺灣：工廠營運調查
iknow04228	豐田(Toyota)：氫燃料車(Hydrogen car)：燃料電池(Fuel-Cell)：現代汽車(Hyundai Motor)：氫能源車
iknow04229	6G：B5G：行動通訊網路(Mobile Communication)：美國(USA)：日本(Japan)：中國(China)：Open-RAN(Open Radio Access Network)
iknow04230	人工智慧(AI)：量子科技(Quantum Technology)：量子電腦(Quantum Computer)：Duality加速器：芝加哥
iknow04231	半導體產業(Semiconductor Industry)：半導體製造(Semiconductor Manufacturing)：英特爾(Intel)：台積電(TSMC)
iknow04232	宏碁(Acer Inc.)：非專利實施實體(Non-Practicing Entity：NPE)：Rock Creek Networks, LLC：IEEE 802.3az：節能乙太網(Energy Efficient Ethernet：EEE)：標準必要專利：專利剩餘價值
iknow04233	美國：日本：聯手抗中國：Competitiveness and Resilience (CoRe)：半導體：供應鏈：人工智慧：氣候變遷：太空：量子：美中科技戰
iknow04234	美國製造回流：晶片短缺：半導體產業：半導體供應鏈：半導體封裝：半導體本土化
iknow04235	特斯拉(Tesla)：無人駕駛車(Self-Driving Car)：機器學習(Machine Learning)：人工智慧(AI)：相機視覺：自動駕駛
iknow04236	DRAM：南亞科：12吋晶圓廠：10奈米：EUV：半導體產業
iknow04237	日本：碳中和：甲烷化(methanation)：碳循環供應鏈：零排放船舶：碳回收：碳捕捉儲存：甲烷氫化
iknow04238	甲烷外洩(methane leaks)：量子相機(quantum-enabled camera)：QLM Technology：LiDAR：單光子雪崩二極體(SPAD)：偵測氣體排放：英國國家量子技術計畫(UK National Quantum Technologies Programme)：石油天然氣開採
iknow04239	安侯建業聯合會計師事務所(KPMG)：全球半導體產業大調查：美中貿易戰：供應鏈管理
iknow04240	電動車(Electric Vehicle)：固態電池(Solid-State Battery)：電池電動車(Battery EV)：BMW
iknow04241	醫療研究(Medical Research)：臉書(Facebook)：人工智慧(AI)：機器學習(Machine Learning)：組合學習(Compositional Learning)：開發新藥
iknow04242	SpaceX：NASA：載人月球登陸器(moon lander)：Artemis：登陸月球：商業合約
iknow04243	Xilinx：自行調適系統模組(SOM)：Kria：邊緣應用：AI視覺：人工智慧：智慧城市：智慧工廠：
iknow04244	中國：數位轉型(Digital Transformation)：區塊鏈(Blockchain)：人工智慧(AI)：分佈式帳本技術(Distributed ledger technology)
iknow04245	後疫情時代：COVID-19：數位轉型：供應鏈重組：PEST分析：產業變局
iknow04246	臺灣：外銷訂單
iknow04247	韓國：半導體產業：稅收減免：半導體投資：三星
iknow04248	半導體價格：晶片短缺：半導體供應
iknow04249	印度：Gogoro：Hero MotoCorp：電動機車：智慧電池交換網路
iknow04250	台積電：南京廠：28奈米：擴廠投資：車用晶片
iknow04251	美國：制衡中國：2021年戰略競爭法案(Strategic Competition Act of 2021)：無盡前沿法案(Endless Frontier Act)：供應鏈
iknow04252	美國NASA：火星探測器：MOXIE：製造氧氣
iknow04253	歐盟：人工智慧(AI)：人工智慧規範：歐盟AI協調計畫(Coordinated Plan on AI)：機械條例(Machinery Regulation)
iknow04254	6G：行動通訊網路(Mobile Communication)：蜂巢式網路(Cellular Network)：5G：XR
iknow04255	iPad Pro：平板電腦(Tablet Device)：筆記型電腦(Notebook PC)：蘋果(Apple)：M1處理器
iknow04256	大數據分析(Big Data Analytics)：健康大數據(Big Data in Healthcare)：機器學習(Machine Learning)：人工智慧(AI)：醫療保健(Healthcare)：自然語言處理(NLP)
iknow04257	半導體產業：台積電：COVID-19
iknow04258	拜登：全球減碳：全球氣候峰會：碳中和(Carbon Neutral)
iknow04259	菲律賓(Philippines)：中小微企業(Micro, Small, and Medium Enterprise：MSME)：整合註冊與資訊系統(Integrated Registration and Information Systems：IREGIS)：菲律賓貿易工業部(Department of Trade and Industry：DTI)
iknow04260	量子計算(Quantum Computing)：物流：供應鏈優化：交通管理系統：D-Wave
iknow04261	電動汽車充電站：全國充電網路(Nationwide Charging Network)：拜登：美國就業計劃 (American Jobs Plan)
iknow04262	電動車(Electric Vehicle)：電動車電池(EV Battery)：中國(China)：歐洲(Europe)
iknow04263	半導體產業：晶片短缺：半導體製造設備：ASML：三星：台積電：EUV
iknow04264	低軌道衛星(LEO Satellite)：衛星通訊(Satellite communications)：衛星寬頻網路(Satellite Broadband Internet)：新創企業：Astranis
iknow04265	專利統計：台灣：專利申請：商標申請
iknow04266	電動車(Electric Vehicle)：電動車電池(EV Battery)：固態電池(Solid-State Battery)：汽車零組件
iknow04267	歐盟：英國：5G設備：電信安全：華為：Open RAN：5G供應鏈：彈性供應鏈
iknow04268	積層製造(additive manufacturing：AM)：3D列印：尼康(Nikon)：Morf3D：衛星產業：金屬列印：太空零組件製造
iknow04269	LG電子(LGE)：4G：5G：NPE：標準必要專利(SEP)：專利買賣
iknow04270	三星電子(Samsung Electronics)：SEMES：半導體設備製造商：研發中心：半導體在地化
iknow04271	中國：國家知識產權局：6G通信技術：專利佈局：專利發展趨勢：太赫茲：確定性網絡：太空衛星
iknow04272	遠距醫療(Telehealth)：人工智慧(AI)：機器學習(Machine Learning)：數位醫療(Digital Healthcare)：智慧醫療
iknow04273	聯發科：愛立信：5G NR：M80數據晶片：毫米波：Sub-6GHz：雙連結(dual connectivity)
iknow04274	聯電(UMC)：12吋晶圓廠：預付訂金：28奈米：擴建：半導體：晶圓代工
iknow04275	蘋果：投資美國：蘋果供應鏈：製造業回流美國：台灣業者
iknow04276	歐盟：歐盟太空計劃(The Space Programme)：歐盟太空法規(EU Space Regulation)：數位化轉型：太空政策
iknow04277	SPAC投資模式：特殊用途收購公司：太空產業：股權融資
iknow04278	半導體產業(Semiconductor Industry)：晶圓代工：英特爾(Intel)：台積電(TSMC)：聯電：28奈米：FD-SOI
iknow04279	半導體產業：無晶圓廠(Fabless)：IDM：IC市場
iknow04280	自動駕駛車(Autonomous Vehicle)：叫車服務(Ride-hailing Service)：豐田(Toyota)：優步(Uber)：Lyft：Woven Planet
iknow04281	智慧家庭(Smart Home)：人工智慧(AI)：環境智能(Ambient Intelligence)：語音助理：智慧網路：物聯網
iknow04282	歐盟：中國：政府補貼：外國國有企業(foreign state-owned companies)：公平競爭：反壟斷
iknow04283	5G封裝市場：半導體委外封裝測試(OSAT)：RF模組：通信零組件封裝：AiP10：5G sub-6 GHz：5G mmWave：5G半導體
iknow04284	LED專利戰：億光電子：日亞化：專利侵權：專利無效
iknow04285	Z世代(Gen Z)：虛擬實境(VR)：虛擬實境平台(VR Platform)：元宇宙(Metaverse)：擴增實境(AR)：Zepeto
iknow04286	台積電：5奈米晶圓廠：人力招募：美國亞利桑那州
iknow04287	全球半導體銷售：三星：英特爾
iknow04288	安謀(Arm)：雲端運算(Cloud Computing)：邊緣運算(Edge Computing)：高性能運算(HPC)：先進晶片
iknow04289	低軌道衛星(LEO Satellite)：衛星通訊(Satellite communications)：SpaceX：國土安全：6G通信：太空產業
iknow04290	台大醫院：醫隼智慧公司：醫療與資訊電機跨領域：產學合作：AI自動腫瘤圈選系統：腦部腫瘤：放射治療：美FDA認證：生醫AI：醫療設備：精準醫療
