PG10605-0204	冷鏈物流：智慧物流：高運力：供需調度：跨國通路
PG10701-0016	公益彩劵回饋金：社會福利支出：主軸計畫：新興社會需求
PG10611-0149	網實整合：電子商務：中小企業
PG10701-0436	太陽能：甲烷：鋰電池：綠能
PG10611-0160	無機聚合：低碳排放：綠色水泥：循環經濟：綠色混凝土
PG10611-0162	綠色殯葬政策：環保自然葬：客家人：殯葬：生死價值
PG10611-0100	港灣設施：現況調查：目視檢測：維護機制：維護管理系統：碼頭：防波堤
PG10611-0102	公務人員考試：心理測驗
PG10702-0149	氣候變遷：減緩調適
PG10612-0036	生醫研究資源：核心設施
PG10612-0043	渦輪引擎：渦輪遮罩：機械製造：國防航太
PG10701-0270	附加價值：價值鏈：礦產品
PG10701-0468	數位典藏：淡水鄞山寺：汀洲客家
PG10707-0011	托育政策：居家托育：機構托育：照顧安排
PG10701-0047	環境調查：數據解析：教育訓練：案例應用
PG10701-0219	健康資料：去識別化：個人資料隱私保護：原始目的外利用
PG10703-0024	原住民族：國際貿易：產業經營：可行性：政策建議
PW10610-0119	實驗動物：生物資材：血清抗體陰性
PW10610-0164	垂直性基因流動：油菜：共存：檢測：基因改造作物：基因轉殖作物：監測
PW10610-0092	四絲馬鮁：黃鰭鯛：黑鯛：尖吻鱸(金目鱸 )：微衛星dna：銀紋笛鯛(紅槽)：黃錫鯛：基因標誌：粒線體dna：嘉鱲：布氏鯧鰺
PW10610-0094	總容許捕獲量(tac)：漁獲動態：魚種組成：飛魚卵：扒網：圍網漁業：花腹鯖：魩鱙漁業：白腹鯖：真鰺：總容許捕獲量：飛魚：混獲組成
PW10610-0107	國土計畫法：環境敏感區位：山坡地土地可利用限度分類
PG10703-0268	通訊保障及監察法：通訊監察：定位技術：犯罪偵查：行動通訊
PG10611-0077	閥類應用：流量控制
PG10611-0076	海域：覆網：刺網：礁區
PG10611-0037	多元民意調查：民意探索
PG10611-0078	健康雲：健康巨量資訊：全民健保：成本效益：台灣人體生物資料庫
PG10612-0015	cgmp生物製劑廠：卡介苗：疫苗：蛇毒血清
PG10611-0004	研發成果：管理機制：智慧財產管理：產學研鏈結
PG10701-0464	高光譜：機載遙測：航拍影像：光譜分析：地表幾何校正：輻射校正
PG10701-0359	自來水：水資源價值：社會溝通：水價調整原則
PG10703-0035	原住民給付：國民年金：發放條件：平均餘命
PW10610-0166	木本植物：伴生作物：里山：遊程規劃設計：植物分類：自然農法：食物森林：蕨類植物：森林療癒：電子植物誌
PW10610-0128	沙門氏菌：大腸桿菌o157:h7：腸炎弧菌：李斯特菌：諾羅病毒：霍亂弧菌
PW10610-0095	蜜環菌：天麻(高赤箭)：石斛：香菇：學習記憶：抗老化化合物：d-半乳糖：香莢蘭：猴頭菇：桑黃：延緩衰老：天麻：老化促進小鼠：杭菊：小葉葡萄
PW10610-0025	紙漿：近紅外線光譜：林木收穫：精油：微膠囊：塔式集材機：集材作業成本：特殊機能紙：集材作業量
PW10610-0027	油茶副產品：天然殺蝸牛劑：蒸發光散射偵檢器：病蟲害管理：油茶粕：產品：有機資材：高效液相層析儀：三酸甘油酯圖譜
PG10612-0211	老人福利機構：防火安全評估
PG10612-0219	不對稱流場場流：多角度靜態光散射：環境奈米粒子
PG10612-0226	奈米技術：環境健康與安全：知識平台
PW10612-0013	溫室：經濟效益：國際合作：設施農業
PG10610-0064	健康存摺：患者自主報告的結果：aehin：國際合作：健康資訊科技
PW10610-0167	自動灌溉：檬果害蟲：變率施噴：有效雨量：坡地果樹園：滴灌：無人飛行載具：溫度影像相機：限水灌溉：茶園：作物監測
PW10610-0168	人力活化：人力資源：調度模式：季節性：農產業：農業產業：人力供需：人力培育：農業勞動力：經濟效益：人力：農業：季節性缺工：人力活化：茶產業：農村社區：苗栗地區：缺工：人力調度：人力：紅棗產業：人力資源
PW10610-0007	林業生產專區：雜交桉：短伐期樹種：混農林業：施肥：永續經營：山坡地：生長表現：瘠劣地：雜交泡桐
PW10610-0008	精英樹選拔：牛樟：瓊崖海棠：香菇產業鏈：育林技術：菇木樹種：牛樟芝：品種檢定：造林：扦插繁殖：短伐期樹種：關鍵缺口技術
PW10610-0057	資通訊技術：蔬菜育苗場：種苗產業：小葉菜：設施栽培：番茄：大數據：育苗場：資通訊技術：種苗產業：資通訊技術：智慧農業：設施栽培：草莓：智慧農業：移植機：苗栗：種苗產業：環控設施：種苗產業：大數據：研發：炭疽病：環控設施：智慧農業：大數據：種苗產業：番茄：種苗產業：資通訊技術：炭疽病：蔬菜育苗場：草莓：設施栽培：資通訊技術：小葉菜：設施栽培：研發：種苗產業：移植機：種苗產業：資通訊技術：苗栗：育苗場：大數據：智慧農業
PW10612-0014	食媒性病原菌：病原性大腸桿菌：沙門氏桿菌：李斯特菌：蔬菜：堆肥
PW10612-0015	東協國家：丹麥國家：檢定：畜產業：遺傳育種：遺傳評估：乳牛：台荷國際合作：產業應用：畜禽產品：交流合作：食品安全：乳製品：遺傳評估系統
PG10610-0063	電子商務：關稅：跨境交易：個人所得稅：營利事業所得稅：營業稅：通關
PW10610-0169	休耕田：農業生態系：長期生態研究：直播水稻：作物產量：耕作制度：農業長期生態系：液肥：產量：最少耕犁：仙草：有機栽培：旱作物：生物多樣性：耕作系統：土壤
PW10610-0170	苦瓜：無特定病原體：瓜類細菌性果斑病菌：茄科：矮南瓜黃化嵌紋病毒：定量即時聚合酶鏈鎖反應：瓜類蔓枯病：胡瓜綠斑嵌紋病毒：健康種苗：煙燻水：瓜類：種子處理：有益微生物：種子健康檢查：雜交純度
PW10610-0068	管理資訊系統：農業計畫：資料庫
PW10610-0069	亞蔬-世界蔬菜中心：蔬菜：泰國
PW10610-0085	益生菌：雞血：飼料添加物：發酵：麩皮：生長性狀：白肉雞：木黴菌：白肉雞：芝麻粕：纖維素群酵素：吸收：異味
PW10610-0113	柳杉：私有林：直交集成板：強度等級：振興策略：林產業
PW10612-0018	畜牧廢水：鳥糞石：生命週期評估：沼氣：盤固草：乾式發酵：潛量：水洗設備：碳足跡：沼渣：地下水：牛糞尿廢水：區域性回收：狼尾草：曝氣廢水：硫化氫：禽畜糞：牛糞：厭氣發酵：羊乳
PG10701-0156	防減災：災害管理：災害應變：風險評估
PW10610-0129	小麥：落花生：甘藷：決策輔助系統：果樹：農業氣象：農業氣象觀測網：災害防治：大豆：農業氣象觀測網監控系統：水稻：玉米：紅豆
PW10610-0171	菌相：苦茶油：抗氧化：腸胃道：脂肪肝：秀麗隱桿線蟲：乾眼症：芝麻素：護肝功能性：帕金森氏症：大鼠：苦茶油：免疫調節：抗氧化效應：護眼保健：苦茶油
PW10610-0096	無線感測器網路：土壤肥力：資訊服務：二維條碼：農業科技：國際合作：專案管理：農業大數據：資料倉儲：資源探索服務：病害：預警系統：長期生態研究：地理資訊系統：全球定位系統：農產品交易行情：農業有益昆蟲：動物用藥品檢定：蟲害：精緻農業：產業利用：巨量分析：資訊服務系統：農業生態系：動物認養：樂活農村專區：數位交流網絡：生技檢測：統計分析：近距離無線通訊：系統擴充整合：食品安全：統計報表：植物種苗：資料視覺化：動物認養網站：綜合害蟲管理：雲端運算：可追溯性：農業虛擬博物館網站：適地性服務：產銷供應鏈：資通化技術
PW10610-0041	粗纖維：離乳仔兔：粗蛋白質：篩檢：小型豬：番鴨：最少病原：國際認證：最少疾病：最少疾病：病原監測：人工授精：發光二極體
PW10610-0028	自己動手：木藝技術：產業分析：掃描式電子顯微鏡：竹產業：木材標本：木材解剖：研究發展：竹建築
PW10610-0029	台灣：服務功能：生物多樣性：地景生態學：多元化育林作業：干擾：半天然化人工林：梅花鹿：效益監測：有機水稻田：農業：族群動態：恆春熱帶植物園
PW10610-0030	pla聚乳酸：容器：碳纖維材：育苗盆：竹材：複合材
PG10703-0050	環境會計：優化：環境效益
PW10610-0135	農業保險：直接給付：產業結構調整：農業策略：環境友善：收入保險：消費者願付價格：地產地消：農業政策：綠色餐廳：產銷班
PW10610-0136	砷物種：生物毒性分析：重金屬：根圈：水稻品種：蚯蚓急毒性試驗：農作物：感應耦合電漿質譜儀：資訊系統：氧化鐵：農產品安全：農藥毒性：基因毒性試驗
PW10610-0042	樹藝師：松斑天牛：都市林：智慧服務：長小蠹蟲亞科：樹木健康：小蠹蟲亞科：樹病處理：松材線蟲：樹醫(藝)中心：資訊管理
PW10610-0098	資源分布與變化：阿根廷魷：秋刀魚：風險評估：美洲大赤魷
PW10610-0059	混農林業：生物多樣性：咖啡：問卷調查：林下栽植
PW10610-0031	植物揮發性有機化合物：抗氧化活性：主要化學成分：森林療癒：台灣山茶：美容活性：現場採樣：精油：芳香療法：芬多精
PG10611-0147	中西藥併用：藥品使用風險評估
PG10612-0046	食因性病原：高風險食品：衛生指標
PG10612-0094	郵輪產業：郵輪碼頭：可行性分析
PG10701-0295	科技政策：公共溝通：公民參與：網絡治理：數位治理
PW10610-0176	漁船管理：漁法：台灣東部海域：漁場：漁船航程紀錄器：漁業改進計畫：巨量資料：沿近海漁業：u形線海域：航跡：漁船航程紀錄器：漁獲率：漁業資源：南中國海：沿近海漁業：鬼頭刀：沿近海漁業：航程紀錄器(vdr)：雲端架構：漁獲率：漁場：航程記錄器：漁船航程紀錄器：地理資料系統：漁業地理資訊系統(fgis)：漁獲率：自動化資料處理：航程紀錄器讀取器：航程紀錄器：漁船航程紀錄器：沿近海漁業：沿近海漁業：漁船航程紀錄：漁業活動
PW10610-0177	環境監測：漁業：漏油事件
PW10610-0013	葉菜類：甜瓜：安全植保資材：微生物農藥：十字花科：害物管理：天然物防治資材
PW10610-0043	休閒農業：決策及支援體系：農業旅遊：創新農業旅遊：休閒農場：農業旅遊：政策建議
PW10610-0032	樹齡：目視樹木評估法：受保護樹木：樹輪：非損檢測技術：病蟲害：樹木風險評估：健康管理：年輪
PW10610-0087	消費動機：農民市集：重要表現分析法
PW10610-0138	培育：無土栽培：海藻：觀賞魚：慈鯛：繁殖：海水觀賞蝦：觀賞蝦：量化：植栽培養基：淡水觀賞魚：雀鯛科：三斑海馬：生產技術：模式
PW10610-0139	油品品質：小果油茶：乾燥程序：油品品質：儲藏條件
PW10610-0072	棲地改善：潟湖：重金屬含量：長期監測：水鳥：地理資訊系統：族群動態：水文操作：高山生態系：濕地：拉姆薩公約：水文循環
PW10610-0103	長鰭鮪：南方黑鮪：長鰭鮪：熱帶鮪類：大西洋：小型鮪釣漁業：單位努力漁獲量：參考點：太平洋黑鮪：泛線性模式：旗魚類：漁業管理：太平洋黑鮪
PW10610-0002	人工林：近自然林：經營模式：長輪伐期：目標樹：效益評估：林下經濟
PW10610-0003	石斛：山葵：獼猴桃屬：野牡丹科：天麻：胡頹子屬：松露：健康種苗
PW10610-0034	迷你豬：無特定病原：生醫用清淨兔：生產與供應：無特定病原
PG10612-0090	船舶自動辨識系統：智慧型海洋運輸系統：船舶減速查核：船舶軌跡：交通流量：船舶空汙
PW10610-0142	離乳豬：打鬥：動物福祉
PW10610-0144	稅式支出：農業保險法：評估
PW10610-0045	都市林：綠色基礎建設：樹木風險評估：資訊管理：經濟效益
PW10610-0109	水生動物：豬瘟：世界動物衛生組織：衛生防疫：參考實驗室：參考實驗室：錦鯉疱疹病毒：國際交流：獸醫服務體系效能
PW10610-0064	官方管控：屠宰檢查：屠宰流程監控：屠宰場：水禽：微生物
PG10612-0193	產品碳足跡計算服務平台：碳足跡排放係數資料庫：數據品質系統
PG10612-0228	中風復健：雙側上肢訓練：單側上肢訓練：治療密度：腕動計
PG10611-0148	風險辨識：危害特徵描述
PW10610-0145	共同管理：基礎生產力：藍色經濟：行動研究：在地物種：社區培力：栽培漁業：栽培漁業示範區：自然棲地：休閒漁業：營養位階：礁區魚類群聚：栽培漁業：生態系統服務功能
PW10610-0183	水產疫苗：品質管理：生物安全性：水產養殖：隔離設施：n-乙烯唾液酸：生物安全：基因編輯：生物安全：基因改造生物：基改作物：基因改造水產生物：生物安全評估：疫苗檢定：風險評估：實驗動物：基因轉殖家畜禽
PW10610-0017	地動訊號：降雨門檻：大規模崩塌
PW10610-0100	產銷履歷：標準競合：地下水：補償機制：重金屬：土壤：聯合監測
PG10703-0065	自主學習：數位學習：國語文：核心素養
PG10705-0007	經貿依賴：投資依賴：金融風險
PW10610-0148	研究缺口：管考制度：績效指標
PW10610-0149	氣候變遷：沿海場域：保育價值：魚類重要棲地：重要放流物種：放流物種：棲地：刺網：水產動植物資源：放流物種：海洋保護區：南沙群島：生態調查：生態系統服務：漁業資源結構：漁業資源結構：近岸水域：環境調查：漁業資源結構：近岸水域：生態調查：珊瑚礁：漁業活動：生態調查
PW10610-0019	酯類：新南向：效力試驗：動物用藥品不良反：法規分析：免疫促進劑：瓶鼻海豚鏈球菌：龍膽石斑魚：市場規模：哈維弧菌：佐劑：動物用疫苗：雙價疫苗：聚合物：產值
PW10610-0106	單位努力漁獲量：資源評估：鯊魚魚翅：深海狐鮫：無危害評估：表層鯊魚：物種鑑定：海鳥：單位努力漁獲量：平滑白眼鮫：年齡結構模式：無危害評估：隔絕式恆溫聚合酶鏈鎖反應器：生態相關物種：大型鯊魚：鮪延繩釣：海龜：深海狐鮫：意外捕獲
PG10701-0334	原住民族教育：原住民族教育法：就學政策
PW10610-0151	油茶：整合管理：授粉昆蟲：關鍵害物：病蟲害
PW10610-0152	茶油：分子標誌：油脂指紋圖譜：胡麻：大果油茶：核酸萃取：小果油茶：品種鑑定：苦茶油：次世代定序：產地鑑定：簡單重複性序列
PW10610-0021	噴灌：節水：灌溉系統：肥液灌溉：黃金廊道：經濟效益：園藝作物：經營模式：蔬菜嫁接種苗及菇類：水質處理：設施：噴霧兼肥灌機具：黃金廊道：雨水收集：行動式植物工場：滴灌
PW10610-0115	檢驗履歷：實驗室資訊管理：生產醫學：人畜共通傳染病：動物病原收存：豬病：風險因子：大數據：反芻獸疾病：病原微生物基因庫：動物用藥品：重要動物傳染病
PW10610-0116	耳石：效益評估：生殖：標識放流：魚苗放流：年齡與成長
PW10610-0079	採收：機械：外銷：病蟲害影像識別：溯源農產品：冷鏈：智慧農業：溯源茶產業：農業加值：鳳梨：省工：智能化管理：生長預測模式：溯源農產業：萵苣：智慧農業：果實品質：毛豆：結球萵苣：生產履歷
PW10610-0055	土壤：高風險作物：農藥殘留：食前處理：少量作物：風險評估模式：地下水
PG10611-0157	三醋酸纖維素：聚丙烯：回收再製
PG10701-0017	公共參與：審議民主：參與式預算：身心障礙者：就業促進
PG10701-0023	既有建築：節能改善：節能策略：效益分析
PG10701-0402	青少年勞工：勞動環境：安全衛生認知
PG10702-0166	大數據：健康監測：資訊與通訊科技
PW10610-0160	影像分析：蝴蝶蘭：查詢系統：快速光曲線：溫室環控：蟲害防治：植物組織培養：綠能管理：生理感測：系統開發：自動澆水：葉綠素螢光：激發光：生產管理
PW10610-0162	降血糖：護膚：機能性保健產品：敷料：紅豆杉：黨參
PW10610-0080	活體：路死動物：野生動物：復育：圈養繁殖：野生動物急救站：社群參與：魚類保育：狂犬病：生命大百科：國際貿易：食肉目動物：鼬獾：臺灣生命大百科：生物多樣性：淡水原生魚
PW10610-0089	環境素養：環境教育及保育行動：台灣白魚：動物大使：傷病野生動物：野生動物教育：生物多樣性：社區資本概念：公民教育：環境意識
PW10610-0090	矮化：植物營養診斷：行銷通路：嫁接：繁殖體系：效益評估：低產林改造：果實生長曲線：脂肪酸組成：肥培管理：消費者：試驗圃：良好農業規範：繁殖技術：油茶：嫩梢嫁接：本益比：油茶：淨現值：品系：策略規劃：含油率：豐產技術：產量：成熟度
PW10610-0023	褐飛蝨：分子輔助育種：白葉枯病：水稻：稻熱病：紋枯病
PW10610-0024	生產體系：脂肪酸：壓榨法：苦茶油：脂肪酸：螺旋擠壓法：螺旋擠壓法：苦茶油：壓榨法
PW10610-0005	基因種質資源管理：纖維素生合成基因：轉基因桉樹：毛狀根：林木基因體學：木質素專一性基因：生物反應器：次世代定序：基因堆積：基因靜默：種質保存：基因轉殖隔離田
PW10610-0091	水土資源保育：水資源涵養：極端降雨：土地利用與變遷：氣象災害：社經脆弱度：城鄉地區：承載力：永續經營：產業結構：崩塌潛勢
PW10610-0082	林業科技：常態化差值植生指標：遙感探測：綠度指標：衛星：林業經營：多尺度遙測：國際合作：植生復育
PW10610-0084	受精率：耐熱性：白羅曼鵝：生長性能：高畜黑豬：遺傳率：選性繁殖：阿爾拜因山羊：粒線體完整性：波爾山羊：生育力：褐色菜鴨：腹腔鏡：殘差飼料採食量：選拔：孵化率：種豬：精子：台灣水鹿：努比亞山羊：染色質完整性：精液：高產蛋品系：選育
PC10703-0128	metformin：根尖病變：細胞凋亡：活性氧分⼦
PB10703-1323	無線充電：rf 無線充電：演算法
PC10703-0198	pcna：高脂肪飲食：肥胖：酪氨酸磷酸化：脂肪細胞：染色質
PB10703-1039	太陽能電池：強化學習：最大功率點追蹤法：獎勵值標靶函數：部份受遮蔽網格太陽能板陣列
PB10703-1533	行程長度編碼：最大共同子序列：限制子字串長度為k 的最大共同子序列
PB10703-0831	共享經濟：資料探勘：人工智慧
PF10703-0190	公私部門差異：部門轉換者：心理距離：刻板印象：工作滿意度
PB10703-1366	除霧霾：結構稀疏性：結構修復：以圖搜圖：内容導向：色軌權重分析：亮度 參照
PB10703-0735	android 手機應用程式分析：弱點掃描：模糊測試
PB10703-1226	工業4.0：袋式太空包：製包：系統整合設計
PB10703-0763	奈米熱壓印：奈米半球凹槽陣列：奈米金顆粒：表面增強拉曼結構：拉曼光譜：鄰苯二甲酸酯類：塑化劑
PF10703-0325	系統性事故(又稱為「組織性事故」：「常態性事故」)：系統障礙：刑事司法轉向機制：緩起訴：起訴猶豫：事故調查：行政調查：刑事偵查
PB10703-1480	流行性感冒：傳染病監測：電子病歷：資料探勘：預測模型
PC10703-0120	血管鈣化：慢性腎臟病：末期腎病：微小核糖核酸：生物指標
PB10703-1491	病毒：人類蛋白質體：交叉反應：蛋白質序列：資料庫
PB10703-0880	紙層析：側流卡匣：電噴灑游離質：質譜：農藥偵測
PB10703-1386	生物辨識：指靜脈辨識及偽造偵測系統：方向性離散小波轉換：局部不變特徵：影像品質評估技術
PB10703-0413	巨量資料：nosql：資料湖泊：spark：機器學習
PC10703-0287	膜性腎病變：自體免疫抗體：單一b 淋巴球選殖
PB10703-1190	網實系統：機械手臂研磨：視覺伺服
PB10703-1250	3d 重建技術：點雲拼接：同步定位與地圖構建(slam)
PF10703-0320	低碳旅遊：套裝遊程服務設計：敘述性偏好：羅吉特模式：服務水準
PB10703-1575	無線感測網路：k-邊界覆蓋問題：能量轉移
PB10703-1719	機器手臂組裝：教導與控制軟體模組：順應式拖拉教導：軌跡優化
PB10703-1720	統計準則式演算法：自然語言處理：問答機器人：虛擬助理：語意理解：智慧型代理人
PB10703-1076	二階最小平方迴歸線原理：影像處理：無人空拍機：空拍影像：邊緣檢測
PB10703-0278	智慧機械(intelligent machinery)：全自動虛擬量測(automatic virtual metrology：avm)：批次控制系統(run-to-run control：r2r)：智慧型預測保養(intelligent predictive maintenance：ipm)：智慧製造系統(intelligent manufacturing system)
PB10703-0776	長期績效：力學模式：數值演算法：車轍
PB10703-0810	機器學習：時間序列分析：openvx：電腦視覺：物件追踨：影像切割
PB10703-0727	物聯網：虛擬化技術：容器技術：程式化作業系統：協作系統
PF10703-0374	調節焦點：自我效能：自我監控：實習：運動休閒產業
PB10703-0208	合成生物學：生化反應：合成生化標記物：囊泡：生化系統設計：設計自動化：程式語言：編譯器
PC10703-0057	長期照護：輪椅：老人：情緒狀態
PB10703-1467	推薦引擎：行動情境：鏈結資料：爬網
PB10703-0432	玻璃珠：進料檢驗：電腦視覺：機器學習：成圓度
PB10703-0965	資訊隱藏：可逆式：藏密學：影像品質：向量量化
PF10703-0220	存續期間：供應鏈：中間財：最終財：原產地證明：fta 利用率：台灣：東協
PB10703-0732	微生醫系統晶片：數位微流體操控：電濕潤：肺組織生醫微系統：實驗室晶片
PB10703-1460	骨質疏鬆：氣囊擴張椎體整形術：聚酸甲酯骨水泥：乙二胺四乙酸：生物力學
PC10703-0303	表皮幹細胞 (epithelial stem cell)：潘氏細胞 (paneth cell)：克隆氏症 (crohn’s disease)：發炎性腸道疾病(ibd)：半乳糖凝集素(galectin)
PC10703-0275	氣喘：非嗜伊紅性發炎：纖維細胞：呼吸道平滑肌細胞：磷酸雙脂瓷抑制劑
PD10703-0150	生物資訊：基因體研究：高通量資料分析：轉譯醫學：生物科技：藥物
PB10703-0918	急診室壅塞：工作排程演算法：醫療資訊系統：人機介面
PF10703-0285	時間偏好：語言：未來式：提示(prime)
PC10703-0233	失眠：偏頭痛：磁振造影：體素形態學分析：擴散張量影像：機率型神經徑束圖：功能性連結
PC10703-0121	醣基化：o-glcnac 糖基化修飾：ogt 酵素：預後：瀰漫性大b 細胞淋巴瘤
PD10703-0037	螞蟻：蟑螂：天然材料製的產品（nbp）：天然原料化合物產品（bac）：毒餌：驅蟲劑
PB10703-0782	紡織污泥：營建材料：高值化循環再利用
PB10703-0386	超音波主軸：超音波輔助加工：難削材：模態參數：製程參數
PC10703-0276	侵襲性b 群鏈球菌感染：血清型分佈：基因型：抗藥性：莢膜多醣
PC10703-0338	心血管疾病：臨床試驗聯盟：生醫產業
PC10703-0063	三叉神經痛：擴散張量影像：立體定位放射線手術
PB10703-0389	生理資訊平台：模糊理論：血壓：心率變異度(hrv)：自律神經(ans)：生理資 訊：fuzzy演算法：舒張壓(dbp)：收縮壓(sbp)：模糊決策系統：大數據
PB10703-1784	高熵合金：機械行為：變形機制：晶格扭曲
PC10703-0232	前膠原賴氨酸-2-氧代戊二酸-5-雙加氧酶3 (plod3)：腦膠質瘤
PC10703-0079	生態防災：韌性：保護區：環境治理：全球環境變遷
PB10703-0974	快閃記憶體：可靠度：多位元快閃記憶體：單位元快閃記憶體效能：單元寫入方法：晶片密度：多位元快閃記憶體技術：閾值電壓關係：位元錯誤率：硬體：寫入：閾值電壓：耐久度：免備份寫入法
PB10703-1461	牙周病：多階段疾病自然史預測模式：行動應用軟體：成本效益
PF10703-0393	福衛三號：福衛七號：太空科技：氣象觀測
PE10703-0047	滿洲地區：融資：製粉廠：碾（精）米廠：糧棧：銀行
PB10703-0885	壓電定位平台：自動組裝：壓力感測器
PB10703-0851	統計耦合理論：最佳化：地震預警系統
PC10703-0261	n-甲基-d-天冬氨酸受體：抗體：思覺失調症：難治型思覺失調症：興奮性氨基酸
PB10703-1126	智慧電網：電池充電：環境監測：溫度偵測：空氣檢測：水質檢測：照度偵測：智慧建築
PB10703-1175	鋼木組合樑：炭化層：接合部：火害實驗：抗彎實驗
PB10703-0458	自動光學檢測：入料檢驗：製程監控：影像辨識：數位影像處理：線性滑軌
PB10703-1797	金融科技：自然語言處理：多源機器學習：隨機網路演算：智能合約：供應鏈金融
PB10703-1159	物聯網：失智症：時空定向力：x 信標：接收訊號點強弱度指示
PB10703-0321	智慧型車場管理系統：3d人臉識別驗證：深度圖影像：深度學習：3d卷積類神經網路
PB10703-1517	互連網路：超立方體：摺疊式超立方體：容錯嵌入：條件式錯誤：迴路
PB10703-1802	下肢復健機器人：串聯彈性致動器：步進馬達：力量感測與控制：順向與逆向驅動
PB10703-0835	車輛通訊平臺：車輛通訊：軟體無線電：網路功能虛擬化
PC10703-0112	放射線：溶瘤病毒：抗腫瘤
PD10703-0032	石斑魚：飼料添加物：肝臟健康：膽鹼：肌醇：維生素e與c
PF10703-0262	情緒耗竭：職場衝突：角色衝突：工作-家庭衝突：組織-專業衝突：倫理衝突：人際衝突
PB10703-1450	隱函曲面塑形：隱函接合運算：架構性實體幾何：函數表示式塑形
PF10703-0226	運動道德：運動員精神：攻擊：結構方程模式
PB10703-1419	綠色計算：分時/分波
PB10703-1361	菜蟲：邊緣檢測：影像分析：城市農夫
PB10703-1478	婦女癌症：臨床決策支援系統：癌症登記資料庫：醫學資訊：流行病學
PB10703-0362	電磁線圈：綠色節能：鐵心電樞：非軸對稱：氣壓
PB10703-1803	虛擬實境：擴增實境：360 全景影像：智慧型導覽：三維場景重建：環境感知理解：新視點影像合成：遠距溝通合作：深度學習：最佳化設計：互動介面設計：即時定位與地圖構建：深度估測：基於圖像之渲染技術：影像編輯
PF10703-0281	南亞：流亡藏人：羅興亞難民：社群安全：身分政治：國家關係：東南亞
PF10703-0173	概率銷售策略：策略行銷：訂價：經驗品
PC10703-0340	台灣：肝炎：肝癌：臨床試驗：合作聯盟
PC10703-0170	腦缺血-再灌注：介白素15 號：自然殺手細胞：cd8 t 細胞：核磁共振影像系統
PB10703-1257	多光子激發：時域聚焦式：偏振激發：雙光子吸收：膠原蛋白纖維
PE10703-0060	理性：規範性：理由：推論：溝通
PD10703-0123	發炎性腸道疾病：陶斯松：乙醯膽鹼：乙醯膽鹼受器：發炎反應：cd4+ t 細胞
PB10703-0474	頭戴式虛擬實境系統：無線手部穿戴裝置：3d直覺式手部操控系統：unity 3d
PD10703-0129	斑馬魚：內質網逆境：uorf：chop：轉譯調控：xndou
PB10703-1426	模擬最佳化：機率分枝界限法：隨機搜尋：柏拉圖最佳化
PD10703-0086	胺基酸：原生能力：細菌分類：病原性：抗藥性：物種趨向性
PB10703-0807	視覺定位：時間不變特徵：深度學習：三維結構比對
PF10703-0056	決策模式：任務表現：任務型態
PB10703-1034	步態辨識：多模態生物特徵：電腦視覺：機器學習
PC10703-0154	鐵鉑奈米：抗藥性：細胞死亡機制
PB10703-0828	橢圓曲線密碼學：橢圓曲線離散對數問題：index calculus 演算法：semaev 加法多項式：weildescent 方法：grobner 基底演算法
PB10703-1493	巨量資料：深度學習：潛伏因子向量：音樂：串流：類神經網路：使用者喜好
PD10703-0021	家禽里奧病毒：p17 蛋白：核孔蛋白複合體：核質穿梭：進核訊號：出核訊號：hnrnp a1：lamin a/c：細胞週期：週期素依賴激酶：週期素
PB10703-0572	gan-on-si：氮化鎵：(111)矽晶圓：應力：機械強度：奈米強化：晶圓邊緣缺陷
PB10703-0401	無人飛行載具：定翼：旋翼：混合機
PA10703-0121	長期記憶：神經網路：超解析顯微術
PB10703-1828	血流量(blood flow volume)：血壓(blood pressure)：獨立成分分析(independent component analysis)：軟性電路板(flexible printing circuit)：光學濾波器(dielectric multilayered fabry-perot)：超穎介面(meta-surface)：無線充電(wireless charging)：微光譜儀(micro-spectrum)
PC10703-0270	缺血再灌注損傷：急性腎損傷：內皮型一氧化氮合酶：kruppel家族：k74突變
PB10703-1436	可充電式無線感測網路：node-gosper islands：node-gosper curves：資料收集：路徑規劃
PB10703-1104	原子力顯微鏡：afm：dna：高分子長鍊：蠕蟲鍊模型：輪廓長度：持久長度：影像處理
PB10703-0920	神經回饋：腦機介面：動物模型：情節式記憶：工作記憶
PB10703-1840	金融科技：生物認證：輕量加密：注入攻擊：html5：黑箱測試：白箱測試：入侵偵測：大數據：機器學習
PB10703-1090	主宰關係：事件監測：物聯網：出版/訂閱：空間型出版/訂閱
PE10703-0040	日書：數術：禁忌：堪輿：秦漢
PB10703-0977	電腦斷層掃描：三維影像套合
PB10703-0473	智慧機器人：機器人樂團：小提琴機械人
PB10703-1057	廣播問題：k-廣播中心：k-廣播重心：郵件模型
PB10703-1492	3gpp lte-a pro：物聯網：增強性機器通訊：小資料聚合：協同傳輸：綠色通訊：電源管理：服務品質
PC10703-0346	肝癌：pspc1：雄性激素受體：脂肪代謝：癌化程式改變
PB10703-1069	以生理為基礎之動力學模式：風險評估：食物加熱副產物：丙烯醯胺：丙烯醛：乙醛
PB10703-1061	派屈網路：智慧排程：排程技術：貨物匹配
PC10703-0230	皮質集尿管 (cortical collecting duct)：鋰鹽(lithium)：腎因性尿崩症 (nephrogenicdiabetes insipitus)：rna測序 (rna-seq)
PG10704-0061	高雄港站：北號誌樓：歷史建築：縱貫線：屏東線：鐵道：修復：再利用
