PG10812-0040	戶外教育：活動理論：十二年國民基本教育：校訂課程
PD10807-0779	傅立葉紅外線光譜：光散射分析：總有機碳分析：掃描式顯微鏡：塑膠微粒：芬頓氧化
PF10807-6624	企業生命週期：會計師簽證網絡：應計項目盈餘管理：實質盈餘管理：審計品質
PB10807-9903	金屬微管：金屬微螺管：液壓成形：伺服運動
PA10807-4512	因果關係：信賴區間：中位數效應：醫療費用：觀察性研究：傾向分數：右設限資料
PB10807-9950	斜張鋼纜：索力：微振法：偏心束制：分叉頻率
PF10807-7126	企業對企業輸配送資料分析：車輛途程派遣問題：貨物裝載問題：啟發式演算法
PF10807-6817	環境治理：公共參與：社群認同：dpsir架構：柬埔寨
PB10807-9371	酸鹼值感測器：氧化鎳薄膜：氧化鎳奈米柱：原子層沉積：射頻磁控濺鍍：水熱法
PF10807-6868	解說：植物生態：語言系統：文本類型
PB10807-9212	電弧故障：直流線路：支持向量機：決策樹：fpga
PE10807-2643	台灣閩南語：主詞導向型：結果複合詞：控制理論：直接受詞限制
PC10807-4777	非編碼核糖核酸：環狀核糖核酸：naive 萬能分化性：primed 萬能分化性：細胞命運轉變
PF10807-7205	貨幣超額報酬：匯率預測能力：參數不穩定性：即時資料：風險因子：不確定性
PA10807-4323	日冕物質拋射：太陽磁場：太陽圈：太空天氣：磁暴
PC10807-4525	緊急醫療調節中心：大量傷病患事件：緊急醫療應變整合傳遞系統：緊急醫療救護：急救責任醫院
PA10807-4363	模擬重力：玻色-愛因斯坦及巴丁-古柏-施里弗凝聚體間交越：彎曲時空下量子場論：半古典重力場論：開放爆脹宇宙模型：全息原理和凝態系統.
PC10807-4692	電睡眠療法：睡眠問題：無氧動力
PE10807-2920	丁念先：念聖樓：收藏：書畫：碑帖：文人收藏
PB10807-10017	沖壓加工：模具磨耗：磨耗偵測：伺服沖床
PC10807-4748	海藻褐素：角膜炎：白內障
PF10807-7565	多元性別教育：同志成家：高齡者：樂齡大學
PB10807-11409	移動式霧運算：模型壓縮：互動式家庭關懷平台：類神經網路模型
PA10807-5305	金屬錯合物：含氮配位基：開環聚合：喹唑啉酮配位基
PA10807-5311	硫化二氫：鑽石高壓砧：x光晶體繞射譜：密度泛函理論：區域密度近似
PA10807-5353	有機元件：偏極子：電致發光
PB10807-11449	磁性奈米流體：黏度：磁場：粒子聚結：布朗效應
PA10807-5331	熱化：非線性波色系統
PA10807-5309	牛樟芝：靈芝：三萜：生物轉換：代謝產物
PB10807-10545	深度學習：眼神追蹤：臉部表情：頭部動作：人機介面：擴增實境：虛擬實境
PC10807-5509	前列腺癌：polθ：轉移：抗賀爾蒙雄激素阻斷法：去勢抗性前列腺癌
PC10807-5508	焦磷酸鈣晶體沉積：hdac抑製劑：軟骨細胞：histone乙醯化：mirna
PB10807-11871	圖型資料：編碼：異質網路：物聯網
PB10807-11781	區域風力發電系統：無效功率規劃：非線性規劃：序列線性規劃法
PB10807-11498	再生能源發電系統：儲能系統：最佳位置選擇：人工智慧隨機演算法
PF10807-8445	附保證終身提領：變額年金：長壽風險：資本要求：避險策略：風險控制基金：關聯結構
PB10807-13200	電腦輔助建築設計：自適應性機器人：機器人構築
PC10807-6456	紋影攝影：安全衛生：智能排氣櫃：危害可視化
PC10807-6633	主觀記憶抱怨：腦磁圖：阿茲海默症：輕度認知障礙：發炎因子：類澱粉蛋白：生活型態
PB10807-13435	水質監控：無毒養殖：感測資料：閘道器：影像辨識：卷積神經網路
PC10807-6634	第二型先天性淋巴球：介白素-33：心肌組織纖維化
PF10807-9063	空間消費：旅遊符號：幸福體驗：享樂體驗：觀光品牌認同
PB10807-13410	智慧製造：工業4.0：國際合作：國際聲望：產業升級關鍵技術與突破性研發：國際影響力：社會應用影響力
PC10807-6587	腫瘤幹細胞：腎臟癌：腫瘤轉移：循環腫瘤細胞：循環腫瘤幹細胞：腫瘤異質性
PC10807-6596	二氧化碳：控溫治療：腦部血流調控：缺血再灌注傷害：細胞凋亡：細胞自噬機制
PF10807-9062	程式鷹架：機器人程式：線上教學：深入式學習：淺嚐式學習：學習動機
PB10807-13401	視障者輔具：物聯網：人工智慧：邊緣運算：深度學習
PA10807-5932	物源研究：板塊重建：哀牢山-紅河斷裂帶：南海
PB10807-13192	絲素蛋白：組織工程：生醫骨架
PC10807-6343	失智照護：居家照服員：虛擬實境教學：輔導支持：印尼籍居家看護工
PC10807-6351	次世代定序：塑化劑：易感受基因：乳癌
PF10807-9007	神經回饋：憂鬱：反芻：正念：執行功能：自主神經功能：臨床試驗
PC10807-6352	h7n9：單株/多株抗體：昆蟲桿狀病毒表現系統：病毒抗原捕捉elisa：域表面電漿耦合螢光光纖生物感測器：假病毒
PF10807-8671	情緒疾患：社會認知：神經心理功能：社群媒體：深度學習：積卷神經網絡
PB10807-12496	超重力：旋轉填充床：奈米零價鐵：過硫酸根：醫藥污染物：重金屬離子：硝酸鹽
PF10807-8680	立法課責性：直選總統：台灣：韓國：集體課責：個人課責：文本探勘：立法資料庫
PB10807-12524	整合性海岸管理：社會-生態系統：系統動力學：生態系統服務：環境治理
PD10807-1057	乾旱：乙烯：葉片老化：芸香苷：高鹽：訊息傳遞：逆境耐受性：甘藷
PD10807-1065	次世代定序：總體生命條碼：花粉：排遺
PA10807-5804	archimedean copula：相依現狀資料：適合度檢定：模型選取：迴歸分析：半競爭風險資料
PA10807-5805	微生物誘導碳酸鈣沉澱：micp：尿素酶：碳酸鈣：河口飛砂及揚塵
PE10807-3384	護生：護理業務糾紛：護理實務：護理倫理學
PB10807-12684	膠原蛋白纖維：金奈米柱：聚焦超音波：偏振激發：二倍頻顯微鏡：分子自組裝
PA10807-5814	宇稱及時間反演對稱：例外點：拓樸缺陷：量子相干：法諾共振：度規
PA10807-5536	核磁共振光譜學：阿滋海默症：β-類澱粉胜肽：脂質微胞
PB10807-11922	xapi：活動流：圖形資料分析：詢問式學習：資料探勘：網站重構：智慧維運
PC10807-5814	疼痛特徵：神經影像：機器學習：深層類神經網路：疼痛預測
PC10807-5589	專注力：意識轉移：藍班核-正腎上腺素系統：phasic放電：tonic放電
PB10807-12586	車輛途程問題：越庫作業：逆物流：不確定性：通用啟發式演算法：穩健最佳化
PF10807-8732	公民審議：參與式預算：審議想像：審議能力：主持技藝
PA10807-5767	颱風暴潮與海嘯：海相巨波浪事件堆積物：岩相：沈積地層學：上部全新統：澎湖－嘉義－台南
PA10807-5765	三階段選模法：金融網絡模型：高維時間序列網絡模型：高頻交易資料：格蘭傑因果關係網絡模型：異質變異：群組效應：網絡向量自我迴歸模型：變數選擇一致性
PA10807-5766	分子信標：氧化鐵奈米粒子：活細胞基因分析：幹細胞分化分析：幹細胞純化
PB10807-12013	電阻式記憶體：氧化亞銅：銻摻雜：偏好晶向：穩定度：可靠度
PB10807-12015	渦電流：巨磁阻：通量閘：非接觸量測
PB10807-12017	遙測技術：重金屬：高光譜影像：可見光-近紅外光高光譜儀：能量色散x射線熒光光譜儀：非破壞性快速分析技術：類神經網絡：地理資訊系統：水污染管理策略
PA10807-5574	電子自旋共振：膜蛋白：鈣離子通道：奈米盤
PB10807-12815	氫鍵作用：可逆自修復機構：可療癒嵌段及無規共聚物：混摻物：奈米碳管：電感測器
PF10807-8718	氣象導航：綠色船舶：多目標避碰路徑規畫：自駕船
PB10807-12451	橡膠瀝青：流變預測模式：相位角法：穩態剪切流動法：多重應力潛變回復試驗
PA10807-5727	低維度磁性系統：交換耦合：反鐵磁層引發垂直磁性：極端紫外光：瞬時態磁性：去磁作用：即位研究
PB10807-12331	自動光學檢測：薄膜電晶體液晶面板：壞點瑕疵：深度學習：卷積神經網路：多類別判別模型
PA10807-5518	島弧火山：岩石成因：爪哇：岩石地球化學：鋯石鈾鉛年代學：氬氬定年學：巽他島弧
PA10807-5692	颱風：生成位置：移動路徑：大尺度環流
PE10807-3325	同性婚姻：母職：身份認同：立場：互文性：意識形態
PC10807-5665	泌尿道上皮癌：表觀遺傳：代謝：免疫治療：佩你安
PA10807-5670	量子蒙地卡羅：二聚體化之量子反鐵磁體：自旋1/2海森堡模型：尼爾溫度：交錯磁化密度：量子臨界區域：焠火無序：普適常數：harris 凖則：harris 奇點：神經網路：potts 模型：kosterlitz–thouless 相變.
PA10807-5671	磁振造影：光學影像探針：微脂體：一氧化氮：血管新生：傷口癒合：阿茲海默症：矽奈米線場效應晶體生物感測器
PD10807-1042	溪流功率：河床地貌：植物根系：水槽試驗
PB10807-12272	邊緣運算：資源請求：雲端聯盟：效能優化：聯盟賽局：配對理論
PB10807-12302	常壓電漿：微流體系統：快速製作：生醫晶片
PF10807-8628	工作不安全感氣候：知覺組織障礙：工作敬業：工作滿意度：團隊滿意度：團隊幫助行為：團隊績效
PF10807-8494	職場靈性：領導：個案研究：質性研究
PC10807-5785	阿黴素：化療副作用：cisd2：cisd2活化劑：惡病質：肝毒性：器官溝通：心臟：肝臟：骨骼肌
PB10807-12187	胸高截面積：生物量：數位表面模型：漂流木：邊坡穩定：無人機
PB10807-12461	模糊季節性：深度置信網路：空氣汙染：模糊推論系統
PA10807-5749	液液微萃取：萃取溶劑：環境樣本：食品安全
PC10807-6385	年輕型失智：阿茲海默症：重覆經顱磁刺激術：theta叢集經顱磁刺激術
PB10807-9260	多準則決策：關鍵成功因素：模糊層級分析：折衷排序法
PB10807-9881	空間語意規則：參數化建模：設計自動化：建築資訊建模(bim)：營造法式：大木作
PB10807-9377	預測市場：市場設計：無悔學習：跟隨正規化後領導者：線上鏡下降：成為正規化後領導者
PA10807-4276	混合分解：乘積圖：卡氏積：張量積：圈積：迴圈：路徑：星形
PB10807-9386	相變位記憶體固態硬碟：儲存系統：相變位記憶體：非揮發性記憶體
PF10807-6635	波動預測：跨期：極值：高/低波幅：持久性：carr 模型
PF10807-6636	遊戲化：即時反饋系統：智慧型教學錄播：部分翻轉教室：學習成效
PB10807-9926	niti形狀記憶合金：形狀記憶效應：擬彈性：超音波輔助：冷風：刀具磨耗：加工面完整性
PA10807-4496	隱馬可夫鏈模型：異質資訊融合：神經網路
PC10807-4708	發炎性腸道疾病：止瀉中藥方濟：腸道菌：腸道免疫：活性成分
PB10807-9932	基於深度的圖像渲染 (dibr)：圖像渲染：視點合成：圖像融合：圖像修補：深度學習
PC10807-4630	deltex1：t細胞：干擾素-γ：全身性紅斑性狼瘡
PE10807-2802	道之行：規則遵循：規範性：先秦哲學
PB10807-9811	相圖計算(calphad)方式：塊材金屬玻璃 (bmg)：cu-zr-ti-ni基高熵合金：高通量計算 (htc)：熱力學與材料模擬
PB10807-9373	強化學習：部分遮蔽：太陽能陣列：最大功率點追蹤
PD10807-0844	水稻田：鳥類多樣性：永續農法：慣行農法：農藥
PM10901-0137	開放資料：資料科學：資料經濟：大數據
PG10905-0050	未來工作：新科技：未來人才：數位轉型
PM10901-0073	製藥產業：技術輔導：國際化：人才培訓：產業推動
PM10901-0143	知識管理：知識長：專家黃頁：社群經營：組織學習：隱性知識外顯化
PG10901-0364	駕駛執照：駕駛訓練
PM10901-0077	工業廢棄物：資源再生產業：資源再生產品：再利用技術
PM10901-0144	ai產業推動：產業ai化：快取快建平台
PG10906-0224	adms：drems
PM10901-0005	產學訓合作：產業人才發展：人才需求分析：人才發展趨勢
PG10901-0413	再生醫療：細胞治療：法規
PM10901-0085	新南向：食品：國際鏈結：清真：人才培訓
PG10903-0208	化學物質：採樣：二氧化氯
PW10905-0026	水果選別：發酵茶：品種：鳳梨質地：小麥：光譜：栽培技術：菌酛：微生物：水果分級：影像辨識：茶葉副產物：植物基因體
PW10905-0027	抗疲勞：熱緊迫：分子標誌輔助育種：動物實驗：智慧健康管理：生醫材：鳳梨：乳牛：豬骨：次世代定序：降血糖：龍膽石斑：酵素水解：副產品：無菌加工包裝：發酵：異種骨移植材：種植機：臺灣鯛：傷口癒合：人工智慧：益生質：毛木耳：監控技術：大豆渣：優勢石斑種原：青海菜：免疫調節：省工：白蝦養殖
PM10901-0009	政策鏈結：區域產業發展：府際合作
PM10901-0086	策略規劃：資源分配：計畫審議：執行管理：績效評估
PG10904-0228	職業病：工作補償
PW10905-0028	相對豐度：方法學：海龜皰疹病毒第五型：綠蠵龜：流行病學：野生動物：鑑定：腸球菌：肉品：保育醫學：疾病監測：保護區：收容中心：海洋：分子診斷：疾病：疾病監測：狩獵：弧菌菌屬
PM10901-0018	纖維補強複合材料：塑橡膠暨彈性體產品：高值產品
PM10901-0088	專利檢索：數位醫療：智慧財產
PM10901-0149	製藥產業：特殊劑型藥品：特色藥廠：藥品拓銷
PW10905-0019	養殖水耕系統：繁殖：繁殖：淤泥：密度：遠洋漁業：生態養殖：黃鱲鰺：鰟鮍魚類：養蝦池：牡蠣苗：牡蠣：鹽度：粗首鱲：養殖漁業：櫻桃寶石簾蛤：人工附著基：效益評估與管理：沿近海漁業：智慧化：自動化：策略規劃：鹹水魚塭：水質
PW10905-0023	檢測系統：炭疽病：草莓
PM10901-0030	數位經濟：跨域數位人才：moocs：跨域數位網路學院
PW10905-0024	基因改造作物：基因編輯：監測：能力試驗：木瓜：檢測
PW10905-0025	台灣東部區域：民族植物：研發服務：資料庫：針葉樹：台灣材：林產技術：林產技術平台：闊葉樹：永續利用：加工性質：原住民：木材科學：木材加工：台灣木材：造林木：林產技術推廣：木材科學：造林木：林產技術推廣：產品製作：資訊服務：諮詢服務：製材
PM10901-0032	金屬產業：金屬基本工業：金屬製品業：扣件業：金屬工具業：表面處理及熱處理業
PM10901-0094	能資源：區域整合：循環利用
PM10901-0042	健康促進：養生照護：經營模式
PM10901-0099	電子設備：光電：半導體：零組件：設備產業
PM10901-0044	在地老化：福祉產業：中高齡生活支援服務：創新服務模式
PG10902-0005	老人：五級檢傷：急診
PM10901-0106	創新基地：社會創新：共同工作空間：創新與創業：國際接軌
PM10901-0048	環境足跡：物質流成本分析：供應鏈物質流分析
PM10901-0114	食品產業：智慧生產：製程整合
PM10901-0053	複合材料：循環材料：再生應用
PM10901-0118	醫療電子：醫療器材：法規輔導
PM10901-0054	人才培育：人工智慧：產業創新
PM10901-0125	智慧城鄉：智慧城市：智慧應用
PM10901-0058	智慧財產：技術交易：智財評價
PM10901-0134	新南向：產業鏈結高峰論壇：智庫合作
PM10901-0061	循環經濟：石化：鋼鐵
PM10901-0135	亞洲生產力組織：亞洲生產力組織綠色卓越中心：亞洲生產力組織智慧製造卓越中心：生產力：綠色生產力：智慧製造
PM10901-0011	資訊產業：人工智慧：國際夥伴
PM10901-0012	鞋類：成衣服飾：智慧製造：染整
PM10901-0013	中小企業：技術升級：技術改善
PM10901-0056	智慧照明：發光二極體：深紫外線發光二極體：雲端：節能
PM10901-0105	化粧品：化粧品優良製造規範：產業轉型
PM10901-0107	航空：軌道車輛：關鍵零組件
PG10901-0222	數位國家‧創新經濟發展方案：智慧國家：數位經濟：5g：開放治理：智慧城鄉
PM10901-0014	產業永續發展：綠色工廠：清潔生產：企業社會責任
PM10901-0015	綠色成長：綠色設計：產品生命週期：綠色創新
PG10901-0295	肌肉減少症：肌力訓練：日間照護：復健
PG10901-0300	鄰苯二甲酸酯類：脂質過氧化：過敏性疾病
PM10901-0109	物聯網：生技醫藥：綠能科技：創新創業：智慧機械
PM10901-0110	鑄造：砂模鑄造：3d列印：積層製造：數位鑄造：快速原型
PM10901-0016	國際環保標準：企業社會責任：企業社會責任
PM10901-0017	中堅企業：升級轉型：智慧機械
PM10901-0059	離岸風力發電：能源綠能產業：離岸風電：太陽光電
PM10901-0060	電動車輛：充電站：關鍵組件
PM10901-0062	臺灣製產品mit微笑標章：產品驗證：產品行銷
PM10901-0111	智慧製造：智慧機器人：智慧服務
PM10901-0112	職能基準：能力鑑定：培訓創新：訓考用合一
PG10903-0339	系統性文獻回顧：快速回顧：實證數據資料庫：協作計畫
PM10901-0019	紡織產業發展推動：商機媒合：紡織：投資：科技
PM10901-0020	工業合作：補償貿易：互惠
PM10901-0064	貿易自由化：區域經濟整合：世界貿易組織：跨太平洋夥伴全面進步協定
PM10901-0065	工業：戰略：趨勢
PM10901-0066	沼氣發電：共醱酵：併網發電
PM10901-0113	印刷：紙製品：包裝
PM10901-0115	產業發展政策：主要國家經濟體：產業競爭力
PM10901-0021	智慧機械：工業4.0：智慧製造
PM10901-0022	物聯網：可量產雛型打造：智造基地
PM10901-0023	產業用水量：用水回收率：水資源管理
PM10901-0067	體感科技：虛擬實境：擴增實境
PM10901-0068	3d列印：創用中心：產業推動
PM10901-0116	醫療器材：輔具器材：利基藥品：關鍵製程技術：國際合作
PM10901-0117	智慧材料：功能型材料：光學材料：半導體構裝材料
PM10901-0024	智慧機械：人工智慧：數位串流：中小型製造業
PM10901-0025	產業工作環境改善計畫：安全衛生輔導：工作環境改善：風險管理
PM10901-0026	推廣：資源再生綠色產品：廢棄物再利用
PM10901-0069	食品工廠：自主管理：食品安全
PM10901-0070	ic設計：ic製造：ic封測：智慧電子：物聯網：人工智慧
PM10901-0071	品牌發展：全員品牌管理：台灣20大國際品牌
PM10901-0072	生物技術：推動國際合作與投資：單一窗口諮詢服務：技術移轉
PM10901-0119	產業競爭力：升級轉型：整合服務
PM10901-0120	汽機車產業：機車產業：自行車產業：汽車產業
PG10903-0378	長期追蹤調查研究：量尺等化：似真值：試題位置效應：差異試題函數
PM10901-0027	園區智慧化服務：亞洲‧矽谷計畫：智慧治理
PM10901-0028	智慧機械：智能製造：工業4.0
PM10901-0074	高端新材料：化學材料：量產
PM10901-0075	智慧電子：半導體：智慧聯網
PM10901-0076	感測器：電子：機械
PM10901-0121	能源管理系統：示範輔導：推廣宣傳
PM10901-0122	循環經濟：電子材料：回收再利用
PM10901-0123	智慧機械：智慧製造：人工智慧
PW10902-0003	淡水河：物聯網：河堤監測
PW10902-0006	物聯網：資通訊：開放資料
PM10901-0029	環保產業：生質能：特殊事業廢棄物處理中心
PM10901-0031	工具機：產業機械：機器人
PM10901-0078	智財佈局：新創育成：技術商品化：國際合作
PM10901-0079	節能減碳：高效率節能產品：低碳技術
PM10901-0124	循環經濟：資源循環：資源再生
PM10901-0126	智慧校園：人工智慧：學習科技
PW10902-0005	轄區觀測數據全時比對機制之精進作為：轄區淹水資訊全時研判機制之精進作為：重點區域外水溢淹範圍全時預警系統
PW10902-0007	智慧河川：物聯網：人工智慧：花蓮溪：秀姑巒溪：水文水理：預報模式
PM10901-0034	傳統產業：自主研發：研發補助：產品開發：產品設計：研發聯盟
PM10901-0080	工業設計：產品設計：設計美學：設計服務：設計產業：服務設計
PM10901-0081	服務業：策略性服務業：投資
PM10901-0127	家電：家用電器：電器
PM10901-0128	重型運輸：航空：船舶：遊艇：軌道車輛
PM10901-0129	資通安全：資安實測場域：資安新創推動及人才培育
PW10902-0010	智慧河川：大甲溪：決策
PM10901-0035	低碳生產技術：製程改善：汰舊換新：低碳燃料替代
PM10901-0036	寬頻網通：物聯網：低功耗廣域網路
PM10901-0082	實證場域：多功能開發板：物聯網：晶片化：軟性載板
PM10901-0083	智慧機械材料：機器人材料：感測器材料
PM10901-0084	東部特色原物料應用：非金屬礦物資源再利用：建材產業
PM10901-0130	資訊服務：拓展國際市場：技術交流會：智慧應用：e化顧問：整合服務
PM10901-0131	人才培訓：國際推展：一般資料保護規定
PW10902-0009	多元水源智慧調控：創新服務：應用推廣
PW10902-0011	氣候變遷：智慧節水：調適策略
PG10905-0036	古蹟：歷史建築：管理維護：紀念建築
PM10901-0037	智能驅控次系統：先進駕駛輔助系統：irb驗證
PM10901-0038	台日產業合作：5+2創新方案：物聯網、生技醫藥以及循環經濟
PM10901-0087	數位遊戲：手機遊戲：數位內容
PM10901-0089	製造業：資訊應用：製慧機械
PM10901-0132	資訊服務業：資訊服務業：資訊服務業
PM10901-0136	離岸風電：太陽光電：綠能
PW10902-0002	河川工程：自動化：防洪
PW10902-0004	智慧河川：物聯網：人工智慧：曾文溪：水文水理：洪水預報
PM10901-0039	文化產業新經濟：產業內涵價值：台灣設計dit：產業品牌價值：體驗經濟
PM10901-0040	產業升級創新平台：產業高值：創新優化
PM10901-0090	氣體感測器：空氣品質：物聯網
PM10901-0092	區域聯防：工業區：緊急應變
PM10901-0138	軟硬整合：垂直領域：國際合作：創新商模：商業媒合
PM10901-0139	全面品質管理：國家品質獎：卓越經營
PM10901-0140	印刷數位技術：印刷數位服務：印刷數位市場拓展
PM10901-0041	資料服務：資料經濟：軟硬整合：垂直領域：創新商模
PM10901-0043	溫室氣體：節能減碳：能源效率
PM10901-0095	產業投資：產業政策：政策工具
PM10901-0096	智慧機械：技術人才：人才扎根
PM10901-0141	高值化：化學：材料
PM10901-0142	未登記工廠：工廠管理輔導：輔導合法化
PM10901-0001	智慧消費性電子、消費性電子、智慧電視：加值服務：數位電視：機上盒：有線電視
PM10901-0002	資訊安全：物聯網安全：行動應用程式安全：資安標準：資安認證：資安檢測
PM10901-0045	重點行業：能源密集度：節能
PM10901-0046	製造業：策略性製造業：投資
PM10901-0047	系統整合：整廠整案輸出：解決方案：外銷出口：產業轉型
PM10901-0097	電路板：工業4.0：大數據：智慧機械
PM10901-0145	食品防護：危害分析與風險預防管制：食品防護計畫產出工具：人才培育：保健食品產業：高齡食品產業
PM10901-0148	臨時登記工廠：特定地區產業：農業工業化：觀光工廠
PG10907-0080	零耗能建築：近零能源建築
PM10901-0003	數位內容：智慧內容產製：國際合作與投資
PM10901-0004	參與國際標準：智慧物聯：智慧電子：育成中心：亞洲●矽谷
PM10901-0006	地區產業發展機制：產業聚落：重點產業：新南向政策
PM10901-0049	智慧財產：管理：內部控制：產業創新條例
PM10901-0050	工業管線：災害防救：緊急應變
PM10901-0098	工程人才：半導體產業：物聯網
PM10901-0100	溫室氣體階段管制目標：製造部門溫室氣體排放管制行動方案：排放額度：總量管制核配
PG10901-0377	山崩潛勢：坡地災害警戒雨量：山崩調查技術：防災預警資訊平台
PM10901-0007	智慧機械：紡織產業智機化：梭織和針織製程
PM10901-0008	快速打樣：技術輔導：新銳設計師：產學合作：產業聚落
PM10901-0010	軟體採購：檢測標準：雲端
PM10901-0051	智慧機械：人工智慧：模具設計虛實整合系統
PM10901-0052	優勢醫材：利基醫材：臨床試驗
PM10901-0055	半導體：封裝設備：半導體零組件：半導體製程
PM10901-0101	環境保護：綠色技術：產業
PM10901-0102	精細化學品：國際化學品法規：綠色化學品
PM10901-0103	時尚數位：時尚產業加值輔導：時尚設計新銳
PM10901-0104	液晶顯示器：微發光二極體：有機激發光二極體
PG10903-0295	機械臂：核設施除役：控制
PG10906-0079	國家資通訊安全發展方案：通報應變：稽核健診：監控防護：情蒐分析
PW10901-0061	監控系統：資料探勘：動物健康：人工智慧：繁殖性狀：畜舍：大數據
PW10901-0024	雲端架構：資源動態：空間分析：漁況預報：數位神經網路：巨量資料：體長頻度：資源評估：印度洋：正鰹：收穫控制規則：單位努力漁獲量標準化：生物參考點：資源動態：北太平洋漁業委員會：預測：鰹鮪圍網：中西太平洋：遠洋魷釣船隊：空間分析：環境效應：長鰭鮪：資源評估：大目鮪：資源分布與變化：人工智慧預測：管理策略評估：阿根廷魷：資源量隨機預測：自動化：海洋資訊科學：秋刀魚：年齡判定：年級群：電子化行政：阿根廷魷：棲地適合度指標：空間分析：漁業管理：漁業管理：即時海況預報：實驗漁船：秋刀魚：漁海況：美洲大赤魷：風險評估
PW10901-0025	航程紀錄器：航跡：漁獲狀況分析：漁船管理：漁業資源：u形線海域：漁場：航程記錄器：巨量資料：漁船航程紀錄器(vdr)：漁船航程紀錄器讀取器：南中國海：熱點分析：動態資料視覺化：漁船航程紀錄器：漁業地理資訊系統：沿近海漁業
PW10901-0026	腸道菌相：保健產品開發：非酒精性脂肪肝：抗發炎：黑蒜錠：機轉：胃腸保健：柿葉：固體發酵：肝臟脂肪代謝：抗氧化能力試驗：精緻化：抗老化：樹豆：抗發炎：假酸漿葉：紅豆水萃物：蛹蟲草：黑蒜精：學習與記憶：精緻化：黑蒜精：黑蒜錠：肝臟脂肪代謝：保健產品開發：胃腸保健：抗發炎：機轉：抗氧化能力試驗：樹豆：蛹蟲草：抗發炎：柿葉：學習與記憶：紅豆水萃物：假酸漿葉：抗老化：腸道菌相：固體發酵：非酒精性脂肪肝：抗發炎：樹豆：假酸漿葉：黑蒜精：保健產品開發：蛹蟲草：學習與記憶：黑蒜錠：精緻化：非酒精性脂肪肝：肝臟脂肪代謝
PW10901-0036	監測：中型洄游魚類：皮膚潰爛：午仔魚：台灣鯛：肌肉色變：重金屬
PW10901-0035	有機農業：堆肥化：生物炭：循環經濟：循環農業
PG10901-0497	不當黨產：轉型正義：停止執行
PG10903-0180	新型態毒品：新興混合式毒品：毒品先驅原料：類大麻活性物質：卡西酮：新型拉曼光譜偵測儀
PG10903-0115	肺高壓：非線性系統
PW10905-0029	防治策略：平台：產蛋異常：雞傳染性支氣管炎病毒：養殖蝦：快速診斷：反轉錄聚合酶鍊反應：分子流行病學：鯉科魚類：基因型：野生動物：疾病監測：終身教育：定序分析：市售蝦：疫苗：雞傳染性支氣管炎：短喙與生長遲緩症候群：經濟效益：皰疹病毒：監測：奴卡氏菌：魚類鏈球菌：動物防檢疫：聚合酶鏈反應：參考實驗室：疾病監測：序列分析：cyl 基因組：豬隻病毒性疾病：政策研究：生產醫學：牛流行熱：致病性：鏈球菌：水禽小病毒：重要：豬生殖與呼吸綜合症病毒：水產動物：烏魚：組織培養：微孢子蟲：保護：野豬：豬瘟：溶血型：狂犬病
PW10905-0030	臺灣油芒：咖啡：乳酸菌：鷹嘴豆：保健作物：紫錐菊：包裝：寡孢根黴菌：貯存：特用作物：臺灣特色茶：水源區：胺基酸：亞麻籽：藥用作物：生物經濟：固殺草：最佳賞味期：品質：珍珠粟：茶園：胡麻：大豆：異黃酮：育種：有機栽培：嘉磷塞：有機栽培：保存期限：分子標誌：友善管理模式：高尿酸：製茶技術
PW10905-0020	耳石：一甲基環丙烯：農村發展：雙單倍體技術：花生：切花：瓶插壽命：鄉村邊緣化：社會創新：百合切花：瓜類細菌性萎凋病：產量：氣候範圍模式：病蟲害整合性管理：洄游：凍存：公民科學：定向誘導基因組局部突變：雞精子：吸水量：臨界溫度：栽培設施改良：氣候-病害警戒施藥技術：品質：營養組成：原生大豆：高溫：番茄斑萎病毒屬：薊馬：生物追蹤：育種：逆境耐性：低密度脂蛋白：農業化：氣候變遷：植群結構：外海箱網養殖：中日韓自由貿易協定：農業人力：儲架壽命：大型箱網養殖：媒介昆蟲：抗災害養殖：日本農產貿易政策：基因體組選拔
PW10905-0021	全基因體關連分析：演化型：種子傳播：西瓜：驗證規範：菸草嵌紋病毒屬：番茄捲葉病毒：甜瓜：植物病原檢測：分子標誌：胡瓜：番茄：種傳病原：核心種原：單一核苷酸多型性：番茄種苗：青枯病菌：甘藍：種子雜交成功率檢測：園藝性狀：種子滅菌處理：數量性狀基因定位：多重抗病：分子標誌：黑黴病菌：超音波：番茄斑萎病毒：種子健康：高壓靜電場：育苗場：分子標誌：單一核苷酸多型性：十字花科：黑腐病：甜瓜：核心收集：茄科：抗病性：基因型定型：抗病性：番茄黃化捲葉病毒：菸草微綠嵌紋病毒：分子標誌輔助育種篩選：雄不稔：雜交種子純度
PG10903-0355	十二年國民基本教育：科學素養：標準設定：核心素養
PG10901-0376	飛航安全：水飄：非破壞檢測：飛航資料監控
PW10905-0022	球根花卉育種：品種：品種檢定技術：種子休眠性：高溫：種原交換：作物模式：糖尿病：防治策略：繁殖體系建立：環境適應性：雜草型紅米：生長模式：升糖指數：產量與米質：乾旱：多倍體：氣候變遷：水稻：農法：土壤碳匯：因應氣候變遷：植物品種權保護：第三地市場：荔枝：試驗檢定方法暨性狀表：調適策略：血糖反應：遠緣雜交：溫室氣體：生產同盟：血糖：2n配子：果樹：種原收集
PW10901-0052	離岸風力發電：海藻造林：牡蠣
